Block Name,Block Offset,Register Name,Register Offset,Access Mode(RW/RO/WO/W1C/W1T/W1S),Repeat,Register Description,Field,Bits,Access Type(RW/RO/WO/W1C/W1T/W1S),Reset Value,HDL Path,Field Description,Write Out
control,0x00000000,,,,,,,,,,,,
,,PCIEPHY_CTRL_0,0x0,RW,,,,,,,,,
,,,,,,,pipe_lane15_ropll_freq_mode,31,RW,0x0,,,
,,,,,,,pipe_lane14_ropll_freq_mode,30,RW,0x0,,,
,,,,,,,pipe_lane13_ropll_freq_mode,29,RW,0x0,,,
,,,,,,,pipe_lane12_ropll_freq_mode,28,RW,0x0,,,
,,,,,,,pipe_lane11_ropll_freq_mode,27,RW,0x0,,,
,,,,,,,pipe_lane10_ropll_freq_mode,26,RW,0x0,,,
,,,,,,,pipe_lane9_ropll_freq_mode,25,RW,0x0,,,
,,,,,,,pipe_lane8_ropll_freq_mode,24,RW,0x0,,,
,,,,,,,pipe_lane7_ropll_freq_mode,23,RW,0x0,,,
,,,,,,,pipe_lane6_ropll_freq_mode,22,RW,0x0,,,
,,,,,,,pipe_lane5_ropll_freq_mode,21,RW,0x0,,,
,,,,,,,pipe_lane4_ropll_freq_mode,20,RW,0x0,,,
,,,,,,,pipe_lane3_ropll_freq_mode,19,RW,0x0,,,
,,,,,,,pipe_lane2_ropll_freq_mode,18,RW,0x0,,,
,,,,,,,pipe_lane1_ropll_freq_mode,17,RW,0x0,,,
,,,,,,,pipe_lane0_ropll_freq_mode,16,RW,0x0,,,
,,,,,,,pipe_lane15_tx2rx_loopbk,15,RW,0x0,,,
,,,,,,,pipe_lane14_tx2rx_loopbk,14,RW,0x0,,,
,,,,,,,pipe_lane13_tx2rx_loopbk,13,RW,0x0,,,
,,,,,,,pipe_lane12_tx2rx_loopbk,12,RW,0x0,,,
,,,,,,,pipe_lane11_tx2rx_loopbk,11,RW,0x0,,,
,,,,,,,pipe_lane10_tx2rx_loopbk,10,RW,0x0,,,
,,,,,,,pipe_lane9_tx2rx_loopbk,9,RW,0x0,,,
,,,,,,,pipe_lane8_tx2rx_loopbk,8,RW,0x0,,,
,,,,,,,pipe_lane7_tx2rx_loopbk,7,RW,0x0,,,
,,,,,,,pipe_lane6_tx2rx_loopbk,6,RW,0x0,,,
,,,,,,,pipe_lane5_tx2rx_loopbk,5,RW,0x0,,,
,,,,,,,pipe_lane4_tx2rx_loopbk,4,RW,0x0,,,
,,,,,,,pipe_lane3_tx2rx_loopbk,3,RW,0x0,,,
,,,,,,,pipe_lane2_tx2rx_loopbk,2,RW,0x0,,,
,,,,,,,pipe_lane1_tx2rx_loopbk,1,RW,0x0,,,
,,,,,,,pipe_lane0_tx2rx_loopbk,0,RW,0x0,,,
,,PCIEPHY_CTRL_1,0x4,RW,,,,,,,,,
,,,,,,,pipe_rx15_es_mode,31,RW,0x0,,,
,,,,,,,pipe_rx14_es_mode,30,RW,0x0,,,
,,,,,,,pipe_rx13_es_mode,29,RW,0x0,,,
,,,,,,,pipe_rx12_es_mode,28,RW,0x0,,,
,,,,,,,pipe_rx11_es_mode,27,RW,0x0,,,
,,,,,,,pipe_rx10_es_mode,26,RW,0x0,,,
,,,,,,,pipe_rx9_es_mode,25,RW,0x0,,,
,,,,,,,pipe_rx8_es_mode,24,RW,0x0,,,
,,,,,,,pipe_rx7_es_mode,23,RW,0x0,,,
,,,,,,,pipe_rx6_es_mode,22,RW,0x0,,,
,,,,,,,pipe_rx5_es_mode,21,RW,0x0,,,
,,,,,,,pipe_rx4_es_mode,20,RW,0x0,,,
,,,,,,,pipe_rx3_es_mode,19,RW,0x0,,,
,,,,,,,pipe_rx2_es_mode,18,RW,0x0,,,
,,,,,,,pipe_rx1_es_mode,17,RW,0x0,,,
,,,,,,,pipe_rx0_es_mode,16,RW,0x0,,,
,,,,,,,pipe_rx15_termination,15,RW,0x1,,,
,,,,,,,pipe_rx14_termination,14,RW,0x1,,,
,,,,,,,pipe_rx13_termination,13,RW,0x1,,,
,,,,,,,pipe_rx12_termination,12,RW,0x1,,,
,,,,,,,pipe_rx11_termination,11,RW,0x1,,,
